scenario,category,description,seed_start,seed_count,steps,tail_window,cooperation_target,success_count,success_rate,goal_hit_count,goal_hit_rate,prey_extinction_count,predator_extinction_count,mean_extinction_step,tail_mean_trait_avg,tail_mean_trait_min,final_mean_trait_avg,final_pred_count_avg,final_prey_count_avg
threshold_synergy_low_start,bootstrap_failure,Threshold-synergy rule under the current low-start emergence baseline. This tests whether coalition thresholds can bootstrap from the active near-zero initial trait regime.,0,5,10000,2000,0.5,0,0.0,0,0.0,0,5,37.0,0.023959978549225436,0.022003407383084306,0.0,0.0,2244.2
threshold_synergy_supported_reference,supported_reference,"Bootstrap-supported threshold-synergy regime. Predators start with higher energy, a modestly broader initial trait ceiling, and lower private cooperation cost so coalition hunts are reachable.",0,5,10000,2000,0.5,3,0.6,3,0.6,2,0,469.5,0.5796450340304429,0.12659837419153658,0.6101430040265957,242.0,144.6
probabilistic_supported_counterfactual,mechanism_counterfactual,"Same supported-start ecology as the threshold-synergy reference, but with the smoother probabilistic hunt rule.",0,5,10000,2000,0.5,0,0.0,0,0.0,5,0,6694.0,0.486476906037924,0.3008823577138221,0.5442971096644501,132.4,0.0
threshold_synergy_supported_equal_split,payoff_counterfactual,"Same supported-start threshold-synergy regime, but prey is split equally rather than contribution-weighted.",0,5,10000,2000,0.5,0,0.0,0,0.0,3,2,333.8,0.11833015485710988,0.08440519113446537,0.0994866611074048,120.2,2237.8
threshold_synergy_supported_strict_quorum,mechanism_counterfactual,"Same supported-start threshold-synergy regime, but with a stricter coalition requirement and higher execution threshold.",0,5,10000,2000,0.5,0,0.0,0,0.0,0,5,61.6,0.08243459777041594,0.07285837993690877,0.0,0.0,4760.6
