scenario,replicate_count,success_rate,mean_initial_helping_trait,mean_final_helping_trait,mean_helping_trait_change,mean_final_population,mean_juvenile_survival_rate,mean_care_relatedness,mean_kin_care_fraction
cost_too_high,5,0.0,0.08953004635523873,nan,nan,0.6,nan,nan,nan
high_juvenile_dispersal,5,0.0,0.09335962563593256,0.09806329713200783,0.0047036714960752655,318.2,0.991304347826087,0.10548264473623357,0.1817732914506159
kin_biased_rearing,5,1.0,0.08953004635523873,0.11746624312872439,0.027936196773485657,319.8,1.0,0.3421792960899685,0.9488063652163606
no_rearing_dependency,5,0.0,0.08953004635523873,0.096092526651248,0.006562480296009261,45.6,1.0,nan,nan
no_relatedness_bias,5,0.0,0.08953004635523873,0.09563743266621177,0.00610738631097304,313.4,1.0,0.15359787527961333,0.5684918210216348
shuffled_relatedness,5,0.0,0.08953004635523873,0.09576810839990038,0.006238062044661649,173.6,0.96,0.41251341079042686,0.9441404092058152
