scenario,seed,success,initial_mean_helping_trait,final_mean_helping_trait,helping_trait_change,initial_helping_invasion_frequency,final_helping_invasion_frequency,helping_invasion_frequency_change,final_population,final_juvenile_count,final_adult_count,latest_juvenile_survival_rate,latest_total_care,latest_mean_care_relatedness,latest_mean_household_care_relatedness,latest_mean_outside_household_care_relatedness,latest_household_care_fraction,latest_grandmother_care_fraction,latest_grandmother_household_care_fraction,latest_mean_available_care_relatedness,latest_care_assortment_gain,latest_kin_care_fraction,latest_expected_juvenile_survival_benefit,latest_benefit_per_care_unit,latest_relatedness_weighted_survival_benefit,latest_total_helper_energy_cost,latest_expected_helper_reproduction_cost,latest_hamilton_margin_proxy,latest_fostered_birth_fraction,mean_lifetime_offspring_rare_helpers,mean_lifetime_offspring_residents,lifetime_offspring_difference_rare_minus_resident,lifetime_offspring_ratio_rare_to_resident,lifetime_offspring_rare_helper_count,lifetime_offspring_resident_count,latest_mean_mate_relatedness,latest_outside_group_mating_fraction,latest_close_kin_mate_rejections
kin_biased_rearing,0,1,0.04789433937321305,0.15370950174772569,0.10581516237451263,0.0703125,0.971875,0.9015625,320,17,157,1.0,132.11427267166727,0.16781598492210503,0.16781598492210503,0.13912488517726843,1.0,0.33412151716333083,1.0,0.1539377571016702,0.013878227820434824,0.7586130633163547,7.800000000000002,0.05903979821608446,1.3657662210043848,3.963428180150019,0.0,1.3657662210043848,0.0,1.9775474956822108,5.098484848484849,-3.120937352802638,0.3878696425409388,579,132,0.0859375,0.4,330
kin_biased_rearing,1,0,0.028615349416912364,nan,nan,0.03125,nan,nan,0,0,0,0.0,0.0,0.196057394110954,0.21484375,0.0,0.9125580525891677,0.9125580525891677,1.0,0.196057394110954,0.0,0.9125580525891677,0.0,0.7499999999999999,0.0,0.0,0.0,0.0,0.0,3.5,5.457943925233645,-1.9579439252336446,0.6412671232876712,4,107,0.046875,1.0,0
kin_biased_rearing,2,0,0.019112973733329215,nan,nan,0.0,nan,nan,0,0,0,0.0,0.0,0.2660025990426772,0.2660025990426772,0.0,1.0,0.48797980269025737,1.0,0.2660025990426772,0.0,1.0,0.0,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,nan,6.333333333333333,nan,nan,0,90,0.0,1.0,0
kin_biased_rearing,3,1,0.060736775988528904,0.149719709211921,0.08898293322339208,0.09375,0.9749216300940439,0.8811716300940439,319,25,128,1.0,123.99635446602237,0.16952158057714387,0.16952158057714387,0.0,1.0,0.3509526739307896,1.0,0.15214421374780443,0.017377366829339436,0.7015009632252917,12.350000000000003,0.09959970237176743,2.039366139843174,3.719890633980672,0.0,2.039366139843174,0.0,2.0031796502384736,4.794520547945205,-2.7913408977067315,0.41780604133545307,629,146,0.08333333333333333,0.5,288
kin_biased_rearing,4,0,0.02839130830642853,0.06494900653034207,0.03655769822391354,0.0234375,0.0196078431372549,-0.0038296568627450983,51,0,5,1.0,0.0,0.20449215619344618,0.21540975732023096,0.16876845347967404,0.7659241867657388,0.444567776388039,0.7508829091533293,0.20449215619344618,0.0,0.963932063929705,0.0,0.03380748190168846,0.0,0.0,0.0,0.0,0.0,2.5526315789473686,3.2598684210526314,-0.7072368421052628,0.7830474268415742,38,304,0.078125,0.0,1
kin_biased_rearing_grandmother_off,0,1,0.04789433937321305,0.14420137032053632,0.09630703094732326,0.0703125,0.959375,0.8890625,320,17,166,1.0,94.50485644255276,0.178352352443274,0.178352352443274,0.12633283935135253,1.0,0.0,nan,0.16143871746580407,0.01691363497746992,0.8473013546774869,9.100000000000001,0.09629134779472072,1.7237797976419835,2.835145693276583,0.35,1.3737797976419834,0.0,1.9746376811594204,4.813793103448276,-2.8391554222888558,0.41020410281965036,552,145,0.09114583333333333,0.3333333333333333,226
kin_biased_rearing_grandmother_off,1,0,0.028615349416912364,nan,nan,0.03125,nan,nan,0,0,0,1.0,0.0,0.2198068117699825,0.28354417695457296,0.1475839141173044,0.5312059284492702,0.0,nan,0.2198068117699825,0.0,0.7906792364998769,0.0,0.29020167566454447,0.0,0.0,0.0,0.0,0.0,2.857142857142857,5.387387387387387,-2.53024453024453,0.5303392259913999,7,111,0.046875,0.0,0
kin_biased_rearing_grandmother_off,2,0,0.019112973733329215,nan,nan,0.0,nan,nan,0,0,0,0.0,0.0,0.281468017238289,0.281468017238289,0.0,1.0,0.0,nan,0.281468017238289,0.0,0.6316953085555878,0.0,0.7500000000000002,0.0,0.0,0.0,0.0,0.0,nan,5.857142857142857,nan,nan,0,98,0.0,1.0,0
kin_biased_rearing_grandmother_off,3,1,0.060736775988528904,0.13392799511060965,0.07319121912208075,0.09375,0.900398406374502,0.806648406374502,251,21,131,1.0,77.83172655873172,0.1982877802612323,0.1982877802612323,0.14414048234392404,1.0,0.0,nan,0.17112738886862613,0.027160391392606176,0.8344568283071733,11.050000000000002,0.1419729522723833,2.3289619741489935,2.3349517967619513,0.0,2.3289619741489935,0.0,1.9839080459770115,4.209039548022599,-2.225131502045587,0.4713445961582967,435,177,0.083984375,0.75,191
kin_biased_rearing_grandmother_off,4,1,0.02839130830642853,0.07218036281471395,0.04378905450828542,0.0234375,0.055793991416309016,0.032356491416309016,233,13,104,1.0,40.292449413374015,0.20772368442768824,0.20772368442768824,0.16982242046338722,1.0,0.0,nan,0.19245970966802703,0.015263974759661209,0.9542378193268618,7.800000000000002,0.1935846570154402,1.6027266036437147,1.208773482401224,0.0,1.6027266036437147,0.0,2.5714285714285716,2.850220264317181,-0.27879169288860917,0.9021859130050784,63,454,0.0859375,0.0,149
