seed_count,grandmother_care_capacity_multiplier,grandmother_household_weight_bonus,success_rate,mean_helping_trait_change,mean_helping_invasion_frequency_change,mean_hamilton_margin_proxy,mean_final_population,mean_household_care_fraction,mean_grandmother_care_fraction,mean_grandmother_household_care_fraction,composite_score
20,1.15,0.1,0.6,0.11511044710434407,0.7807422169557572,0.9109789025241424,151.5,0.9382000240138917,0.3517733119347203,0.9445610397814035,0.7014600072041675
20,1.15,0.25,0.6,0.11511044710434407,0.7807422169557572,0.9083070695796361,151.5,0.9382000240138916,0.3517733119347202,0.9445610397814035,0.7014600072041675
20,1.15,0.4,0.6,0.11511044710434407,0.7807422169557572,0.9061148986302364,151.5,0.9382000240138917,0.35177331193472017,0.9445610397814036,0.7014600072041675
20,1.15,0.55,0.6,0.11511044710434407,0.7807422169557572,0.9042792754877187,151.5,0.9382000240138917,0.3517733119347203,0.9445610397814035,0.7014600072041675
20,1.3,0.1,0.55,0.10838421195560777,0.7570013525496346,0.99915726329352,162.8,0.9623854156318127,0.3616688746712868,0.9629540113104553,0.6737156246895438
20,1.3,0.25,0.55,0.10738816625935577,0.758058240703297,0.9956466034405953,161.65,0.9586251700825204,0.3578598625848166,0.9590551174947565,0.6725875510247561
20,1.3,0.4,0.55,0.10738816625935577,0.758058240703297,0.9927957824541517,161.65,0.9586251700825204,0.3578598625848165,0.9590551174947565,0.6725875510247561
20,1.3,0.55,0.55,0.10738816625935577,0.758058240703297,0.9904287721237823,161.65,0.9586251700825204,0.3578598625848164,0.9590551174947565,0.6725875510247561
20,1.6,0.1,0.5,0.11297749990971773,0.8223345702599799,0.8206970502694744,149.7,0.9282172998167804,0.3747668638292484,0.9470754901803323,0.6284651899450341
20,1.6,0.25,0.5,0.11363743833455525,0.8220584730737703,0.8111188473202641,149.15,0.9153331985505686,0.369696965541685,0.9411253218156977,0.6245999595651706
20,1.6,0.4,0.5,0.11363743833455525,0.8220584730737703,0.8089962039220266,149.15,0.9153331985505686,0.369696965541685,0.9411253218156977,0.6245999595651706
20,1.6,0.55,0.5,0.11363743833455525,0.8220584730737703,0.8072279394806355,149.15,0.9153331985505686,0.36969696554168496,0.9411253218156977,0.6245999595651706
20,1.45,0.1,0.45,0.10889176947895089,0.8204390600452606,0.8131900651667946,149.05,0.9604242437706214,0.3833963606727439,0.9526381366156736,0.6031272731311864
20,1.45,0.25,0.45,0.10889176947895089,0.8204390600452606,0.8103757067279613,149.05,0.9604242437706214,0.38339636067274396,0.9526381366156736,0.6031272731311864
20,1.45,0.4,0.45,0.10889176947895089,0.8204390600452606,0.8080943023883712,149.05,0.9604242437706214,0.38339636067274396,0.9526381366156736,0.6031272731311864
20,1.45,0.55,0.45,0.10889176947895089,0.8204390600452606,0.8062024843302564,149.05,0.9604242437706214,0.3833963606727439,0.9526381366156736,0.6031272731311864
