scenario,replicate_count,success_rate,mean_initial_helping_trait,mean_final_helping_trait,mean_helping_trait_change,mean_initial_helping_invasion_frequency,mean_final_helping_invasion_frequency,mean_helping_invasion_frequency_change,mean_final_population,mean_juvenile_survival_rate,mean_care_relatedness,mean_available_care_relatedness,mean_care_assortment_gain,mean_kin_care_fraction,mean_expected_juvenile_survival_benefit,mean_benefit_per_care_unit,mean_relatedness_weighted_survival_benefit,mean_total_helper_energy_cost,mean_expected_helper_reproduction_cost,mean_hamilton_margin_proxy,mean_fostered_birth_fraction,mean_lifetime_offspring_rare_helpers,mean_lifetime_offspring_residents,mean_lifetime_offspring_difference_rare_minus_resident,mean_lifetime_offspring_ratio_rare_to_resident,mean_lifetime_offspring_rare_helper_count,mean_lifetime_offspring_resident_count,mean_mate_relatedness,mean_outside_group_mating_fraction,mean_close_kin_mate_rejections
cost_too_high,5,0.0,0.03695014936368241,nan,nan,0.04375,nan,nan,0.0,0.6,0.2561240026692078,0.253437227234346,0.002686775434861827,0.7305455905437888,0.0,0.6078060501630522,0.0,0.0,0.0,0.0,0.0,2.1364583333333336,5.675552919573431,-3.4694770690070187,0.3878880682707866,16.0,94.8,0.0203125,1.0,0.0
high_juvenile_dispersal,5,0.4,0.04197070711166178,0.09650229589098205,0.025666126319696024,0.0578125,0.4375,0.30859375,128.0,0.4,0.13108231736104659,0.12903225003873264,0.0020500673223139447,0.5044994618757878,3.5100000000000007,0.5272295372554328,0.31990822626677823,0.5557046319384977,0.06999999999999999,0.24990822626677822,0.0,2.526282562466773,4.7522104862393375,-0.9372280405848156,0.7573583449096193,153.0,298.0,0.05046875,0.32,47.2
kin_biased_rearing,5,0.4,0.03695014936368241,0.12718350384358104,0.07286794616271006,0.04375,0.784375,0.70234375,128.0,0.8,0.21519993797734677,0.2059038014415404,0.009296136535806363,0.6957556125540194,3.770000000000001,0.3547340796518961,0.5838936768111144,1.1152029123932108,0.0,0.5838936768111144,0.0,2.3191581382447892,4.59420358231057,-1.9400798561269397,0.5510062122560502,241.0,197.6,0.04895833333333333,0.6,42.0
no_rearing_dependency,5,0.0,0.03695014936368241,0.0439941403050755,0.007043990941393086,0.04375,0.1364315490227942,0.09268154902279421,242.4,0.9575757575757576,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,1.3689033993381818,1.866139326750647,-0.49723592741246514,0.7338910055844039,71.2,666.2,0.0825390625,0.6116666666666667,253.2
no_relatedness_bias,5,0.0,0.03695014936368241,0.05051390948798315,0.004839768265259655,0.04375,0.033680555555555554,-0.028819444444444446,191.0,0.8,0.16623029420069074,0.16623029420069074,0.0,0.5343192847123519,5.330000000000001,0.38265576724665673,0.5941781128815811,0.6782534965597957,0.0,0.5941781128815811,0.0,3.5395979429640017,3.36730506796965,0.5083807184313874,1.1003941026291544,44.2,548.6,0.07856770833333333,0.46,57.0
shuffled_relatedness,5,0.4,0.03695014936368241,0.11147502497124871,0.06572620337836393,0.04375,0.5697916666666667,0.5046875000000001,128.6,0.8,0.2239877365895093,0.22433567924010697,-0.00034794265059769346,0.6995130341453856,4.290000000000001,0.3284057897850029,0.6150078208164631,1.1078607358894306,0.0,0.6150078208164631,0.0,2.0322483011794112,4.934188791024617,-2.4175389696526417,0.4762169457442263,208.8,167.4,0.059895833333333336,0.5,41.4
unrelated_rearing_groups,5,0.0,0.02783013624153068,nan,nan,0.0203125,nan,nan,0.0,0.0,0.024713631963054376,0.024713631963054376,0.0,0.05310223121055637,0.0,0.7499999999999998,0.0,0.0,0.0,0.0,1.0,5.166666666666666,5.737516200437697,-0.09660919540229873,0.9706503149376382,1.8,105.8,0.0140625,0.6,0.0
