scenario,replicate_count,success_rate,mean_initial_helping_trait,mean_final_helping_trait,mean_helping_trait_change,mean_final_population,mean_juvenile_survival_rate,mean_care_relatedness,mean_kin_care_fraction,mean_mate_relatedness,mean_outside_group_mating_fraction,mean_close_kin_mate_rejections
cost_too_high,5,0.0,0.08953004635523873,0.06729127293211863,-0.0222387734231201,3.8,nan,nan,nan,nan,nan,0.0
high_juvenile_dispersal,5,0.0,0.09335962563593256,0.0959848328838108,0.002625207247878228,319.8,1.0,0.09090631304820365,0.14772938888696296,0.04880580357142857,0.2957142857142857,50.4
kin_biased_rearing,5,0.6,0.08953004635523873,0.10680483254024024,0.017274786185001507,320.0,1.0,0.17363829141468268,0.5445274983368898,0.06694010416666667,0.345,55.0
no_rearing_dependency,5,0.0,0.08953004635523873,0.08292495463710842,-0.006605091718130318,243.8,1.0,nan,nan,0.07838541666666667,0.43333333333333335,204.6
no_relatedness_bias,5,0.0,0.08953004635523873,0.0927651089507114,0.0032350625954726707,316.0,1.0,0.09792411677450738,0.196888384026137,0.058798363095238095,0.3952380952380952,66.0
shuffled_relatedness,5,0.2,0.08953004635523873,0.10008770719311243,0.010557660837873697,319.8,0.9916666666666667,0.1414318260289085,0.42980006679521754,0.05786458333333333,0.5533333333333333,62.0
