scenario,seed,success,initial_mean_helping_trait,final_mean_helping_trait,helping_trait_change,initial_helping_invasion_frequency,final_helping_invasion_frequency,helping_invasion_frequency_change,final_population,final_juvenile_count,final_adult_count,latest_juvenile_survival_rate,latest_total_care,latest_mean_care_relatedness,latest_mean_household_care_relatedness,latest_mean_outside_household_care_relatedness,latest_household_care_fraction,latest_grandmother_care_fraction,latest_grandmother_household_care_fraction,latest_mean_available_care_relatedness,latest_care_assortment_gain,latest_kin_care_fraction,latest_expected_juvenile_survival_benefit,latest_benefit_per_care_unit,latest_relatedness_weighted_survival_benefit,latest_total_helper_energy_cost,latest_expected_helper_reproduction_cost,latest_hamilton_margin_proxy,latest_fostered_birth_fraction,mean_lifetime_offspring_rare_helpers,mean_lifetime_offspring_residents,lifetime_offspring_difference_rare_minus_resident,lifetime_offspring_ratio_rare_to_resident,lifetime_offspring_rare_helper_count,lifetime_offspring_resident_count,latest_mean_mate_relatedness,latest_outside_group_mating_fraction,latest_close_kin_mate_rejections
kin_biased_rearing,0,1,0.04789433937321305,0.13974146944914667,0.09184713007593362,0.0703125,0.9526813880126183,0.8823688880126183,317,20,133,1.0,83.6351380273,0.1759956241539779,0.1759956241539779,0.14123652317268492,1.0,0.3210518134760176,1.0,0.15369650942031618,0.022299114733661723,0.8072722091426379,10.400000000000002,0.12434964830936548,1.866616136741253,2.5090541408190026,0.0,1.866616136741253,0.0,1.9798319327731093,4.666666666666667,-2.6868347338935576,0.424249699879952,595,156,0.080078125,0.5,219
kin_biased_rearing,1,0,0.028615349416912364,nan,nan,0.03125,nan,nan,0,0,0,0.0,0.0,0.34259586002494347,0.34259586002494347,0.0,1.0,0.6715909972269081,1.0,0.34259586002494347,0.0,1.0,0.0,0.7500000000000002,0.0,0.0,0.0,0.0,0.0,3.2,5.7254901960784315,-2.5254901960784313,0.5589041095890411,5,102,0.0,1.0,0
kin_biased_rearing,2,0,0.019112973733329215,nan,nan,0.0,nan,nan,0,0,0,1.0,0.0,0.13851776521390105,0.20441532937651472,0.0,0.6776290488408712,0.447140154951004,0.685731224519727,0.13851776521390105,0.0,0.431057162615555,0.0,0.7499999999999999,0.0,0.0,0.0,0.0,0.0,nan,6.2444444444444445,nan,nan,0,90,0.0,1.0,0
kin_biased_rearing,3,1,0.060736775988528904,0.15711874827620903,0.09638197228768013,0.09375,0.984375,0.890625,320,18,151,1.0,117.37169126804913,0.16167928800753356,0.16167928800753356,0.06387986488233773,1.0,0.2220281269033348,1.0,0.14550044673533838,0.016178841272195182,0.6603784784929259,10.400000000000002,0.08860739661873722,1.6827133077129772,3.5211507380414764,0.0,1.6827133077129772,0.0,1.9740680713128038,4.554838709677419,-2.5807706383646156,0.4334002139567771,617,155,0.07421875,1.0,83
kin_biased_rearing,4,1,0.02839130830642853,0.079684778659474,0.051293470353045476,0.0234375,0.13574660633484162,0.11230910633484162,221,10,97,1.0,44.97917195597226,0.20829020547050967,0.20829020547050967,0.171875,1.0,0.3217424359047366,1.0,0.1978917174136758,0.010398488056833854,0.9478451422524181,3.9,0.08670679851148659,0.8123929439665113,1.3493751586791694,0.35,0.4623929439665113,0.0,2.4523809523809526,2.853982300884956,-0.4016013485040033,0.8592838685861942,84,452,0.083984375,0.75,596
kin_biased_rearing_grandmother_off,0,1,0.04789433937321305,0.14420137032053632,0.09630703094732326,0.0703125,0.959375,0.8890625,320,17,166,1.0,94.50485644255276,0.178352352443274,0.178352352443274,0.12633283935135253,1.0,0.0,nan,0.16143871746580407,0.01691363497746992,0.8473013546774869,9.100000000000001,0.09629134779472072,1.7237797976419835,2.835145693276583,0.35,1.3737797976419834,0.0,1.9746376811594204,4.813793103448276,-2.8391554222888558,0.41020410281965036,552,145,0.09114583333333333,0.3333333333333333,226
kin_biased_rearing_grandmother_off,1,0,0.028615349416912364,nan,nan,0.03125,nan,nan,0,0,0,1.0,0.0,0.2198068117699825,0.28354417695457296,0.1475839141173044,0.5312059284492702,0.0,nan,0.2198068117699825,0.0,0.7906792364998769,0.0,0.29020167566454447,0.0,0.0,0.0,0.0,0.0,2.857142857142857,5.387387387387387,-2.53024453024453,0.5303392259913999,7,111,0.046875,0.0,0
kin_biased_rearing_grandmother_off,2,0,0.019112973733329215,nan,nan,0.0,nan,nan,0,0,0,0.0,0.0,0.281468017238289,0.281468017238289,0.0,1.0,0.0,nan,0.281468017238289,0.0,0.6316953085555878,0.0,0.7500000000000002,0.0,0.0,0.0,0.0,0.0,nan,5.857142857142857,nan,nan,0,98,0.0,1.0,0
kin_biased_rearing_grandmother_off,3,1,0.060736775988528904,0.13392799511060965,0.07319121912208075,0.09375,0.900398406374502,0.806648406374502,251,21,131,1.0,77.83172655873172,0.1982877802612323,0.1982877802612323,0.14414048234392404,1.0,0.0,nan,0.17112738886862613,0.027160391392606176,0.8344568283071733,11.050000000000002,0.1419729522723833,2.3289619741489935,2.3349517967619513,0.0,2.3289619741489935,0.0,1.9839080459770115,4.209039548022599,-2.225131502045587,0.4713445961582967,435,177,0.083984375,0.75,191
kin_biased_rearing_grandmother_off,4,1,0.02839130830642853,0.07218036281471395,0.04378905450828542,0.0234375,0.055793991416309016,0.032356491416309016,233,13,104,1.0,40.292449413374015,0.20772368442768824,0.20772368442768824,0.16982242046338722,1.0,0.0,nan,0.19245970966802703,0.015263974759661209,0.9542378193268618,7.800000000000002,0.1935846570154402,1.6027266036437147,1.208773482401224,0.0,1.6027266036437147,0.0,2.5714285714285716,2.850220264317181,-0.27879169288860917,0.9021859130050784,63,454,0.0859375,0.0,149
