scenario,replicate_count,success_rate,mean_initial_helping_trait,mean_final_helping_trait,mean_helping_trait_change,mean_initial_helping_invasion_frequency,mean_final_helping_invasion_frequency,mean_helping_invasion_frequency_change,mean_final_population,mean_juvenile_survival_rate,mean_care_relatedness,mean_household_care_relatedness,mean_outside_household_care_relatedness,mean_household_care_fraction,mean_grandmother_care_fraction,mean_grandmother_household_care_fraction,mean_available_care_relatedness,mean_care_assortment_gain,mean_kin_care_fraction,mean_expected_juvenile_survival_benefit,mean_benefit_per_care_unit,mean_relatedness_weighted_survival_benefit,mean_total_helper_energy_cost,mean_expected_helper_reproduction_cost,mean_hamilton_margin_proxy,mean_fostered_birth_fraction,mean_lifetime_offspring_rare_helpers,mean_lifetime_offspring_residents,mean_lifetime_offspring_difference_rare_minus_resident,mean_lifetime_offspring_ratio_rare_to_resident,mean_lifetime_offspring_rare_helper_count,mean_lifetime_offspring_resident_count,mean_mate_relatedness,mean_outside_group_mating_fraction,mean_close_kin_mate_rejections
cost_too_high,5,0.0,0.03695014936368241,0.07180710841211085,0.01107033242358195,0.04375,0.0,-0.09375,0.2,0.6,0.21414666822959316,0.2535522671565856,0.0913342149094451,0.8680142818000064,0.3823434789852145,0.9601099369666162,0.21414666822959316,1.1102230246251566e-17,0.6645248824572877,0.0,0.7028023856948709,0.0,0.0,0.0,0.0,0.0,2.0977272727272727,5.327070870756274,-3.1380343926411465,0.405376637817538,18.0,105.6,0.0515625,1.0,0.0
high_juvenile_dispersal,5,0.4,0.04197070711166178,0.1064204635832465,0.035584294011960456,0.0578125,0.6135530956112852,0.48464684561128524,127.8,0.4,0.06266679454433131,0.31020081492058804,0.032480904725053966,0.17280742170140592,0.4006762616759622,0.06586679272961225,0.060314853700569306,0.002351940843762013,0.1724744819910007,3.7700000000000005,0.5091048998332336,0.3812132997725567,0.7654395544393018,0.0,0.3812132997725567,0.0,2.5410967502209365,4.8443949144939245,-1.120059524893458,0.6956226263202979,202.8,250.6,0.02421875,0.6,17.8
kin_biased_rearing,5,0.6,0.03695014936368241,0.12551499879494324,0.07984085757221974,0.04375,0.6909343314491533,0.6284343314491533,171.6,0.8,0.20541574857417313,0.21859526140669586,0.07539827761100452,0.9355258097681742,0.3967107056924002,0.9371462449039454,0.19564045976163497,0.009775288812538151,0.7693105985007074,4.940000000000001,0.3599327686879179,0.8723444776841484,1.4759160075079296,0.06999999999999999,0.8023444776841483,0.0,2.4015702391167166,4.809084463550383,-2.048674229210152,0.5689594730029911,260.2,191.0,0.04765625,0.85,179.6
kin_biased_rearing_grandmother_off,5,0.6,0.03695014936368241,0.11676990941528664,0.07109576819256315,0.04375,0.6385224659302703,0.5760224659302703,160.8,0.8,0.2171277292280932,0.2298752022650113,0.11757593125519364,0.906241185689854,0.0,nan,0.20526012900214574,0.011867600225947461,0.8116741094733974,5.590000000000001,0.2944101265494178,1.1310936750869383,1.2757741944879517,0.06999999999999999,1.0610936750869384,0.0,2.346779288926965,4.62351663206366,-1.9683307868668956,0.5785184594936064,211.4,197.0,0.06158854166666666,0.4166666666666667,113.2
kin_biased_rearing_grandmother_on,5,0.6,0.03695014936368241,0.12551499879494324,0.07984085757221974,0.04375,0.6909343314491533,0.6284343314491533,171.6,0.8,0.20541574857417313,0.21859526140669586,0.07539827761100452,0.9355258097681742,0.3967107056924002,0.9371462449039454,0.19564045976163497,0.009775288812538151,0.7693105985007074,4.940000000000001,0.3599327686879179,0.8723444776841484,1.4759160075079296,0.06999999999999999,0.8023444776841483,0.0,2.4015702391167166,4.809084463550383,-2.048674229210152,0.5689594730029911,260.2,191.0,0.04765625,0.85,179.6
no_rearing_dependency,5,0.0,0.03695014936368241,0.0439941403050755,0.007043990941393086,0.04375,0.1364315490227942,0.09268154902279421,242.4,0.9575757575757576,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,1.3689033993381818,1.866139326750647,-0.49723592741246514,0.7338910055844039,71.2,666.2,0.0825390625,0.6116666666666667,253.2
no_relatedness_bias,5,0.6,0.03695014936368241,0.07942469068174354,0.03801524741047284,0.04375,0.2552047038327526,0.2005172038327526,228.2,1.0,0.1689966555066127,0.1733229924982009,0.13731125153760199,0.8979234832153135,0.29968876941403677,0.8920594185743286,0.16156903009852622,0.007427625408086461,0.5476004928992837,10.915354067529405,0.3612339455667841,1.539570219712826,1.324432433428303,0.06999999999999999,1.469570219712826,0.0,2.3540547645800105,3.2585359884316207,-0.4443404461847408,0.8512487113173044,163.8,447.8,0.07738963293650794,0.11301587301587301,181.2
shuffled_relatedness,5,0.2,0.03695014936368241,0.11426596344990132,0.06859182222717783,0.04375,0.4964326484018265,0.4339326484018265,78.8,0.8,0.2216366287149244,0.23761258066732072,0.12534116026284,0.8471532877908711,0.41375763400205895,0.8873318977801631,0.22258348969669045,-0.0009468609817660679,0.8103225468884199,2.0800000000000005,0.2517192842209772,0.32624481316389364,0.5694746304249405,0.0,0.32624481316389364,0.0,2.396230537655633,4.954296916566251,-2.1529624471326407,0.5268710446149711,143.0,145.4,0.068359375,0.3,54.0
unrelated_rearing_groups,5,0.0,0.02783013624153068,nan,nan,0.0203125,nan,nan,0.0,0.2,0.0488670489114451,0.15264264066794941,0.0488670489114451,0.0,0.6220164483459985,0.0,0.0488670489114451,1.3877787807814458e-18,0.2,0.0,0.7499999999999999,0.0,0.0,0.0,0.0,1.0,4.944444444444445,5.6745254492981765,-0.5839974419519874,0.9379420576356673,1.8,107.6,0.0265625,0.7,0.0
