mechanism,benefit_scale,cost_scale,replicate_count,mean_initial_trait,mean_final_trait,std_final_trait,min_final_trait,max_final_trait,mean_trait_gain,success_rate
indirect_reciprocity,0.8,0.1,8,0.11910320556629066,0.9959013040965271,0.0012597806237261424,0.9938360746910284,0.9977752319290758,0.8767980985302364,1.0
indirect_reciprocity,0.8,0.2,8,0.11910320556629066,0.9528623380360466,0.05063709413533012,0.858706601570556,0.9962328495467013,0.833759132469756,1.0
indirect_reciprocity,0.8,0.3,8,0.11910320556629066,0.838126394900974,0.09534705301335065,0.6861113706782935,0.9944954583214197,0.7190231893346832,1.0
indirect_reciprocity,1.0,0.1,8,0.11910320556629066,0.9975982135100592,0.0007774223986458303,0.996066004426932,0.9989425988852132,0.8784950079437686,1.0
indirect_reciprocity,1.0,0.2,8,0.11910320556629066,0.98870274871864,0.01862731373401116,0.9395474539750032,0.99714909392819,0.8695995431523493,1.0
indirect_reciprocity,1.0,0.3,8,0.11910320556629066,0.9621671387569498,0.0558273276128481,0.8195800039319716,0.9966276298096497,0.8430639331906592,1.0
indirect_reciprocity,1.2,0.1,8,0.11910320556629066,0.9980461232939755,0.0006754374821543954,0.9967322299333262,0.9991563199903444,0.8789429177276848,1.0
indirect_reciprocity,1.2,0.2,8,0.11910320556629066,0.996634349782782,0.0013166322611552488,0.9938681147950904,0.998571355816739,0.8775311442164914,1.0
indirect_reciprocity,1.2,0.3,8,0.11910320556629066,0.9940268196978552,0.005797222797844589,0.9793618196912567,0.997331355569751,0.8749236141315646,1.0
network_reciprocity,0.8,0.1,8,0.11910320556629066,0.40451631200726795,0.09289504846433584,0.3384584203989557,0.5677228174570301,0.2854131064409773,0.25
network_reciprocity,0.8,0.2,8,0.11910320556629066,0.03303965972529543,0.014908523087418394,0.017921425649827998,0.05796239535225492,-0.08606354584099524,0.0
network_reciprocity,0.8,0.3,8,0.11910320556629066,0.0072165955296260315,0.0020743470566752303,0.003676491447592774,0.01014005131514955,-0.11188661003666463,0.0
network_reciprocity,1.0,0.1,8,0.11910320556629066,0.4818330542289503,0.08782813743873921,0.3127055985009265,0.6190193277006857,0.3627298486626596,0.5
network_reciprocity,1.0,0.2,8,0.11910320556629066,0.1360269246684171,0.054513789176579834,0.07127113347425501,0.2237575190930352,0.01692371910212643,0.0
network_reciprocity,1.0,0.3,8,0.11910320556629066,0.0107732748642193,0.0051088885885238935,0.004824926577074889,0.019790631042696405,-0.10832993070207136,0.0
network_reciprocity,1.2,0.1,8,0.11910320556629066,0.6118458487084166,0.04151086682084251,0.5572119033922059,0.6902615042242246,0.4927426431421259,1.0
network_reciprocity,1.2,0.2,8,0.11910320556629066,0.2882376386171388,0.0632333712918498,0.2352748350551579,0.4234861952746428,0.1691344330508481,0.0
network_reciprocity,1.2,0.3,8,0.11910320556629066,0.01656427103836057,0.003165320831145135,0.013314562291769328,0.02345288799921002,-0.10253893452793009,0.0
group_selection,0.8,0.1,8,0.11910320556629066,0.4749540933127634,0.09352270766753049,0.36137328096584376,0.620005121762826,0.3558508877464728,0.5
group_selection,0.8,0.2,8,0.11910320556629066,0.050557141425875626,0.014034957500961755,0.02726312356796017,0.07703087066654596,-0.06854606414041503,0.0
group_selection,0.8,0.3,8,0.11910320556629066,0.011821033976035754,0.002827449408427427,0.0077215341832048805,0.018230990829759354,-0.10728217159025491,0.0
group_selection,1.0,0.1,8,0.11910320556629066,0.5413205309453507,0.07827960966708315,0.4694665284873958,0.7271985450319365,0.42221732537906004,0.625
group_selection,1.0,0.2,8,0.11910320556629066,0.16907740689386558,0.04266888995776033,0.09531848469723955,0.22748318685208632,0.04997420132757492,0.0
group_selection,1.0,0.3,8,0.11910320556629066,0.013950603980404807,0.004841553853401058,0.007793444585176666,0.02355231701207916,-0.10515260158588585,0.0
group_selection,1.2,0.1,8,0.11910320556629066,0.6410600906073249,0.09695326493302915,0.5283767194382365,0.865254065303164,0.5219568850410343,1.0
group_selection,1.2,0.2,8,0.11910320556629066,0.35468552953311544,0.04806236275033015,0.28815917516384004,0.42507482484985876,0.23558232396682477,0.0
group_selection,1.2,0.3,8,0.11910320556629066,0.03930926137907027,0.016669719014137805,0.02418375307847475,0.07215134815133482,-0.07979394418722038,0.0
kin_selection,0.8,0.1,8,0.11910320556629066,0.5358215983495128,0.07695660324624572,0.42824036659173853,0.6677682710187892,0.41671839278322215,0.5
kin_selection,0.8,0.2,8,0.11910320556629066,0.31487030117859877,0.08616075625719276,0.22118772415093438,0.468457663880351,0.1957670956123081,0.0
kin_selection,0.8,0.3,8,0.11910320556629066,0.1496963842317431,0.07407712986987922,0.0417777714089295,0.28709868915534703,0.030593178665452463,0.0
kin_selection,1.0,0.1,8,0.11910320556629066,0.6413614287646582,0.052900751550660596,0.5861026077665166,0.7436860785521604,0.5222582231983676,1.0
kin_selection,1.0,0.2,8,0.11910320556629066,0.41736662492222926,0.08614133003930743,0.2705805063533359,0.5613450252398977,0.2982634193559386,0.125
kin_selection,1.0,0.3,8,0.11910320556629066,0.24415016475805915,0.0731086437907865,0.121056495441839,0.3419901703650751,0.1250469591917685,0.0
kin_selection,1.2,0.1,8,0.11910320556629066,0.7527188490143937,0.08460234524771136,0.6145247187771923,0.8816839111671535,0.6336156434481031,1.0
kin_selection,1.2,0.2,8,0.11910320556629066,0.53591261356777,0.09503630471149432,0.39553670032294835,0.7267660481792834,0.41680940800147936,0.625
kin_selection,1.2,0.3,8,0.11910320556629066,0.290086038835386,0.12760027183400366,0.05602330663015288,0.40483001223230836,0.17098283326909533,0.0
