mechanism,benefit_scale,cost_scale,seed,initial_mean_trait,final_mean_trait,trait_gain,final_std_trait,final_identity_count,emergence_success
indirect_reciprocity,0.8,0.1,0,0.11982660185613107,0.996210309129067,0.876383707272936,0.01343199999125378,1,1
indirect_reciprocity,0.8,0.1,1,0.11914007165541113,0.9970105304177524,0.8778704587623414,0.008501719828923436,1,1
indirect_reciprocity,0.8,0.1,2,0.11797424272741182,0.9945934665345256,0.8766192238071138,0.012460077963232867,1,1
indirect_reciprocity,0.8,0.1,3,0.12236215370906406,0.9965145910012012,0.8741524372921372,0.009631013653694653,1,1
indirect_reciprocity,0.8,0.1,4,0.12040570537335116,0.9948088400897692,0.8744031347164181,0.012466192894630024,1,1
indirect_reciprocity,0.8,0.1,5,0.11899369572264468,0.9938360746910284,0.8748423789683837,0.012030034961226791,1,1
indirect_reciprocity,0.8,0.1,6,0.11990100497716376,0.9977752319290758,0.8778742269519121,0.006440865394830967,2,1
indirect_reciprocity,0.8,0.1,7,0.1142221685091476,0.9964613889797967,0.8822392204706492,0.00914532098714778,1,1
indirect_reciprocity,0.8,0.2,0,0.11982660185613107,0.858706601570556,0.738879999714425,0.03645939530687295,1,1
indirect_reciprocity,0.8,0.2,1,0.11914007165541113,0.9960376496932588,0.8768975780378476,0.008946822604246863,1,1
indirect_reciprocity,0.8,0.2,2,0.11797424272741182,0.9904257990797368,0.872451556352325,0.01926266921526016,1,1
indirect_reciprocity,0.8,0.2,3,0.12236215370906406,0.9888884721329061,0.8665263184238421,0.020113001953325268,1,1
indirect_reciprocity,0.8,0.2,4,0.12040570537335116,0.9167205021550878,0.7963147967817367,0.029701273214347988,2,1
indirect_reciprocity,0.8,0.2,5,0.11899369572264468,0.8964570670909846,0.7774633713683399,0.046247314748853796,1,1
indirect_reciprocity,0.8,0.2,6,0.11990100497716376,0.9962328495467013,0.8763318445695376,0.009420023033792607,1,1
indirect_reciprocity,0.8,0.2,7,0.1142221685091476,0.9794297630191414,0.8652075945099938,0.024632646577440086,1,1
indirect_reciprocity,0.8,0.3,0,0.11982660185613107,0.6861113706782935,0.5662847688221625,0.03669247682188328,1,1
indirect_reciprocity,0.8,0.3,1,0.11914007165541113,0.9944954583214197,0.8753553866660087,0.010448744574226223,1,1
indirect_reciprocity,0.8,0.3,2,0.11797424272741182,0.9243168741220145,0.8063426313946026,0.03752827061352498,1,1
indirect_reciprocity,0.8,0.3,3,0.12236215370906406,0.8007150813550279,0.6783529276459639,0.03920734800433335,2,1
indirect_reciprocity,0.8,0.3,4,0.12040570537335116,0.8991113280594161,0.7787056226860649,0.030711841139357068,1,1
indirect_reciprocity,0.8,0.3,5,0.11899369572264468,0.840867327273989,0.7218736315513443,0.032180026308820504,1,1
indirect_reciprocity,0.8,0.3,6,0.11990100497716376,0.725912421790826,0.6060114168136623,0.04597983939132292,1,1
indirect_reciprocity,0.8,0.3,7,0.1142221685091476,0.8334812976068046,0.719259129097657,0.05603223443722913,1,1
indirect_reciprocity,1.0,0.1,0,0.11982660185613107,0.996066004426932,0.876239402570801,0.012854146223900388,1,1
indirect_reciprocity,1.0,0.1,1,0.11914007165541113,0.9975413979126309,0.8784013262572197,0.008588349958578722,1,1
