kin_bias_ratio,benefit_cost_ratio,kin_weight_same_lineage,kin_weight_other_lineage,B_plus_scale,C_scale,mutation_rate,replicate,mean_final_trait,std_final_trait,min_final_trait,max_final_trait
8.0,3.5,8.0,1.0,0.7000000000000001,0.2,0.02,0,0.8168278134200849,0.12677321322896562,0.11987586841713165,0.8147058020026879
8.0,3.5,8.0,1.0,0.7000000000000001,0.2,0.02,1,0.013659411940661979,0.02213157488242933,0.00869573322026538,0.367911247973353
8.0,3.5,8.0,1.0,0.7000000000000001,0.2,0.02,2,0.016762091936182236,0.02221857988471469,0.015417976657013785,0.5256492645985245
8.0,3.5,8.0,1.0,0.7000000000000001,0.2,0.02,3,0.023555405943524683,0.02763268174040592,0.016533361548711625,0.520300397222552
8.0,3.5,8.0,1.0,0.7000000000000001,0.2,0.02,4,0.019614203289369397,0.022620549822365978,0.010454431054365575,0.531226323602001
8.0,3.5,8.0,1.0,0.7000000000000001,0.2,0.02,5,0.010497527066823019,0.01907252883763307,0.010204140505881375,0.3374405730656951
8.0,3.5,8.0,1.0,0.7000000000000001,0.2,0.02,6,0.14101497353994555,0.06343623221201848,0.11911085062898231,0.6369509465564286
8.0,3.5,8.0,1.0,0.7000000000000001,0.2,0.02,7,0.14586579363009766,0.07675847851849335,0.1207009201843583,0.7369933502351428
8.0,3.5,8.0,1.0,0.7000000000000001,0.2,0.02,8,0.39966304754678966,0.07061847378388915,0.11787083189875726,0.8162694111426825
8.0,3.5,8.0,1.0,0.7000000000000001,0.2,0.02,9,0.016552429617123766,0.02882433844484879,0.010221867862101355,0.3332775226654022
8.0,3.75,8.0,1.0,0.75,0.2,0.02,0,0.039160678340093714,0.04578156952724797,0.04024216072208461,0.7258166470298972
8.0,3.75,8.0,1.0,0.75,0.2,0.02,1,0.15774439860803863,0.08195462199700272,0.11862336521493885,0.7185612155143507
8.0,3.75,8.0,1.0,0.75,0.2,0.02,2,0.01266046108132039,0.020765645544325667,0.006927420253202517,0.4694980974176728
8.0,3.75,8.0,1.0,0.75,0.2,0.02,3,0.013213705717880745,0.021014818048444982,0.008717898717976005,0.5854953315313567
8.0,3.75,8.0,1.0,0.75,0.2,0.02,4,0.9380037195790492,0.06082466423567402,0.12114467164362658,0.9356760435332221
8.0,3.75,8.0,1.0,0.75,0.2,0.02,5,0.8951884526930086,0.05458328678475836,0.11926604755157912,0.8946419412599229
8.0,3.75,8.0,1.0,0.75,0.2,0.02,6,0.013119091335030706,0.023203067131673683,0.009445164057364001,0.5263274985493759
8.0,3.75,8.0,1.0,0.75,0.2,0.02,7,0.016967116313828707,0.026935137005546315,0.01730512310954739,0.5191757092579361
8.0,3.75,8.0,1.0,0.75,0.2,0.02,8,0.018687122300588936,0.03136510760093018,0.015671950879172433,0.6116335829500922
8.0,3.75,8.0,1.0,0.75,0.2,0.02,9,0.026684709924966393,0.03261702355737062,0.016263528409986055,0.4866456520155832
8.0,4.0,8.0,1.0,0.8,0.2,0.02,0,0.017771939829212022,0.024347870388846504,0.01588140685317194,0.5310194670042149
8.0,4.0,8.0,1.0,0.8,0.2,0.02,1,0.9352574101843175,0.04932497219381533,0.11862336521493885,0.9358906654908888
8.0,4.0,8.0,1.0,0.8,0.2,0.02,2,0.9758352625218047,0.03936374743112633,0.11757638181640452,0.9828171587068696
8.0,4.0,8.0,1.0,0.8,0.2,0.02,3,0.018846599564058555,0.02876642582977152,0.011783814817012146,0.34882605224056484
8.0,4.0,8.0,1.0,0.8,0.2,0.02,4,0.9469419308330755,0.045017081296931244,0.12114467164362658,0.9484413757558277
8.0,4.0,8.0,1.0,0.8,0.2,0.02,5,0.5026340304238663,0.08472044657532422,0.11926604755157912,0.8264750442373087
8.0,4.0,8.0,1.0,0.8,0.2,0.02,6,0.01840040192698532,0.029420603395522618,0.009772054045364551,0.5554493607645249
8.0,4.0,8.0,1.0,0.8,0.2,0.02,7,0.021825272750506306,0.028249713015109038,0.010227927786624616,0.4152030589034477
8.0,4.0,8.0,1.0,0.8,0.2,0.02,8,0.7709982054458226,0.0594319436629583,0.11838054609551735,0.7734998905642689
8.0,4.0,8.0,1.0,0.8,0.2,0.02,9,0.021202252916079512,0.02748962872899763,0.010081360114346578,0.2759962396818245
8.0,4.25,8.0,1.0,0.8500000000000001,0.2,0.02,0,0.7757244022989944,0.2253269869632197,0.11987586841713165,0.8283308748569949
8.0,4.25,8.0,1.0,0.8500000000000001,0.2,0.02,1,0.9406348286069025,0.05672631797876974,0.11862336521493885,0.9413205642456846
8.0,4.25,8.0,1.0,0.8500000000000001,0.2,0.02,2,0.9791195927827769,0.03250821782131237,0.11757638181640452,0.9794477435944354
8.0,4.25,8.0,1.0,0.8500000000000001,0.2,0.02,3,0.024693056693898468,0.029036417363675463,0.01760918521243733,0.3484074005204103
8.0,4.25,8.0,1.0,0.8500000000000001,0.2,0.02,4,0.15964864599518416,0.20554841860947193,0.06618377887213729,0.45435584798463974
8.0,4.25,8.0,1.0,0.8500000000000001,0.2,0.02,5,0.1495437604921461,0.17467474878947212,0.11926604755157912,0.4681986616037012
8.0,4.25,8.0,1.0,0.8500000000000001,0.2,0.02,6,0.9838452149766677,0.023978100705056495,0.11911085062898231,0.9847105795545849
8.0,4.25,8.0,1.0,0.8500000000000001,0.2,0.02,7,0.7393707788913968,0.19953456970896988,0.1207009201843583,0.7912019180855017
8.0,4.25,8.0,1.0,0.8500000000000001,0.2,0.02,8,0.9818936441587758,0.027015770907659224,0.11859477668366007,0.9852322900537825
8.0,4.25,8.0,1.0,0.8500000000000001,0.2,0.02,9,0.9755141071427162,0.03024891499705625,0.11901452996224093,0.9766887803561415
8.0,4.5,8.0,1.0,0.9,0.2,0.02,0,0.5956020041592441,0.16425721992788847,0.11987586841713165,0.5990384891601873
8.0,4.5,8.0,1.0,0.9,0.2,0.02,1,0.8116871724638915,0.18682782160667258,0.11862336521493885,0.8118057792783097
8.0,4.5,8.0,1.0,0.9,0.2,0.02,2,0.5920372340270826,0.17026702557289325,0.11757638181640452,0.5956694066103958
8.0,4.5,8.0,1.0,0.9,0.2,0.02,3,0.9795308615195759,0.03173501477443998,0.11753118812823783,0.9832383989694298
8.0,4.5,8.0,1.0,0.9,0.2,0.02,4,0.7479112662802068,0.2000903634658433,0.12114467164362658,0.7602397566465675
8.0,4.5,8.0,1.0,0.9,0.2,0.02,5,0.2528655645177571,0.16417053032549275,0.11926604755157912,0.40541621017873575
8.0,4.5,8.0,1.0,0.9,0.2,0.02,6,0.6182435694225354,0.13737923010034012,0.11911085062898231,0.6397384188540725
8.0,4.5,8.0,1.0,0.9,0.2,0.02,7,0.9764065528423538,0.029279209133499785,0.1207009201843583,0.983072054642607
8.0,4.5,8.0,1.0,0.9,0.2,0.02,8,0.9727840419124575,0.030614603911758076,0.11908803623870742,0.9772404546281158
8.0,4.5,8.0,1.0,0.9,0.2,0.02,9,0.325916493967787,0.07378649558215086,0.11901452996224093,0.5733415104452634
8.0,4.75,8.0,1.0,0.9500000000000001,0.2,0.02,0,0.8168844809417113,0.12986654394973873,0.11987586841713165,0.8867859000975619
8.0,4.75,8.0,1.0,0.9500000000000001,0.2,0.02,1,0.9826793537009484,0.03099324574862722,0.11862336521493885,0.9861649347277575
8.0,4.75,8.0,1.0,0.9500000000000001,0.2,0.02,2,0.25726530187909674,0.10031644597626713,0.11757638181640452,0.4266640586105857
8.0,4.75,8.0,1.0,0.9500000000000001,0.2,0.02,3,0.7861510721083882,0.11069526857896358,0.11753118812823783,0.7961399266662533
