kin_bias_ratio,benefit_cost_ratio,kin_weight_same_lineage,kin_weight_other_lineage,B_plus_scale,C_scale,mutation_rate,replicate,mean_final_trait,std_final_trait,min_final_trait,max_final_trait
1.0,3.5,1.0,1.0,0.7000000000000001,0.2,0.02,0,0.017885611726184334,0.022552950091015,0.007822788009503265,0.11987586841713165
1.0,3.5,1.0,1.0,0.7000000000000001,0.2,0.02,1,0.013876624423335683,0.023558293493649147,0.00797753409977709,0.11915000136064524
1.0,3.5,1.0,1.0,0.7000000000000001,0.2,0.02,2,0.01100872148550437,0.018443063959423345,0.0071971220827815215,0.11766031269260689
1.0,4.0,1.0,1.0,0.8,0.2,0.02,0,0.02024626684632311,0.024557732099060432,0.013646929882579848,0.11987586841713165
1.0,4.0,1.0,1.0,0.8,0.2,0.02,1,0.023414602895298873,0.03477318586977936,0.01082155043067814,0.11946850359863521
1.0,4.0,1.0,1.0,0.8,0.2,0.02,2,0.020205526449795206,0.03045183910131676,0.011082341770453311,0.1178908610775917
1.0,4.25,1.0,1.0,0.8500000000000001,0.2,0.02,0,0.01602907357649118,0.02327225515089403,0.013278079758307668,0.11987586841713165
1.0,4.25,1.0,1.0,0.8500000000000001,0.2,0.02,1,0.024438442199027015,0.032638265174838865,0.02134358735723578,0.12007082654547169
1.0,4.25,1.0,1.0,0.8500000000000001,0.2,0.02,2,0.031412827635769386,0.04152777370820603,0.009852993621276009,0.11834425810098693
1.0,4.5,1.0,1.0,0.9,0.2,0.02,0,0.12277849097462983,0.11776058020819957,0.01759685457682475,0.2769403126749873
1.0,4.5,1.0,1.0,0.9,0.2,0.02,1,0.021923804446519642,0.030474701407561283,0.017065016748665326,0.11995617383837932
1.0,4.5,1.0,1.0,0.9,0.2,0.02,2,0.03524627162784805,0.0494852263117481,0.03361966059454955,0.12059878447398664
1.0,4.75,1.0,1.0,0.9500000000000001,0.2,0.02,0,0.09779570631387104,0.12165720300536306,0.024088819307265887,0.11987586841713165
1.0,4.75,1.0,1.0,0.9500000000000001,0.2,0.02,1,0.44163517541434794,0.07457966978191026,0.08653958217266901,0.45669249707986914
1.0,4.75,1.0,1.0,0.9500000000000001,0.2,0.02,2,0.7037560815675287,0.11409648851738442,0.09858600648668506,0.7057017114934185
1.0,5.0,1.0,1.0,1.0,0.2,0.02,0,0.672137693417214,0.09551927373069492,0.09648492501290686,0.6823921252863239
1.0,5.0,1.0,1.0,1.0,0.2,0.02,1,0.13832423656884948,0.09294359114726568,0.06612121795353088,0.17077185785237722
1.0,5.0,1.0,1.0,1.0,0.2,0.02,2,0.6178995758965391,0.10248890975299449,0.10447872223306093,0.6193970725266644
1.0,5.25,1.0,1.0,1.05,0.2,0.02,0,0.7950797265101196,0.04900193574378991,0.1106669114608033,0.797288347095918
1.0,5.25,1.0,1.0,1.05,0.2,0.02,1,0.6727008887929412,0.0662845573945923,0.10261132105842809,0.6865138182913594
1.0,5.25,1.0,1.0,1.05,0.2,0.02,2,0.8731556207062083,0.09316050374373379,0.11156521883059939,0.8776166491065841
1.0,5.5,1.0,1.0,1.1,0.2,0.02,0,0.728591664306594,0.07575991006059488,0.11456233684393934,0.7344969846103194
1.0,5.5,1.0,1.0,1.1,0.2,0.02,1,0.6340787133029462,0.054120611691103326,0.10895039783284896,0.6497743139709313
1.0,5.5,1.0,1.0,1.1,0.2,0.02,2,0.9331871959107415,0.06753178545330947,0.11105047355792508,0.9475034207828599
1.0,5.75,1.0,1.0,1.1500000000000001,0.2,0.02,0,0.962793273268234,0.04539949128625625,0.11491481177482554,0.9643252524119011
