kin_weight_same_lineage,kin_weight_other_lineage,kin_bias_ratio,B_plus_scale,C_scale,mutation_rate,replicate,mean_final_trait,std_final_trait,min_final_trait,max_final_trait
0.5,0.1,5.0,0.8,0.3,0.01,3,0.21660815858605212,0.04408196557159458,0.11718321743200313,0.21709897320447558
0.5,0.1,5.0,0.8,0.3,0.01,4,0.13180158813630372,0.06716829902502386,0.11021879188108388,0.27783898376080235
0.5,0.1,5.0,0.8,0.3,0.01,5,0.2041581963145597,0.058528146172135434,0.11926604755157912,0.20421766427740257
0.5,0.1,5.0,1.0,0.1,0.01,0,0.3072702066642704,0.02948851471243526,0.11987586841713165,0.3063037518596094
0.5,0.1,5.0,1.0,0.1,0.01,1,0.3661407789584547,0.04330601384441307,0.11862336521493885,0.3636699014886958
0.5,0.1,5.0,1.0,0.1,0.01,2,0.30534774410036086,0.029384399044381695,0.11757638181640452,0.30531792132662106
0.5,0.1,5.0,1.0,0.1,0.01,3,0.3802093513405496,0.038012412092884654,0.11753118812823783,0.38007530776228404
0.5,0.1,5.0,1.0,0.1,0.01,4,0.43748339542831194,0.04482414468410278,0.12114467164362658,0.43605903044059446
0.5,0.1,5.0,1.0,0.1,0.01,5,0.36659249572045877,0.05916843408285559,0.11926604755157912,0.3640359203475583
0.5,0.1,5.0,1.0,0.2,0.01,0,0.25846602310056366,0.054333743747103286,0.11987586841713165,0.2627444983938956
0.5,0.1,5.0,1.0,0.2,0.01,1,0.3213683091178143,0.06203442762381146,0.11862336521493885,0.32411269806020315
0.5,0.1,5.0,1.0,0.2,0.01,2,0.28666044754012454,0.03592138517180655,0.11757638181640452,0.28621985015340445
0.5,0.1,5.0,1.0,0.2,0.01,3,0.28673867583363133,0.043688111345909275,0.11753118812823783,0.28502357813991996
0.5,0.1,5.0,1.0,0.2,0.01,4,0.33284725314442487,0.05384993021216162,0.12114467164362658,0.34274191860816045
0.5,0.1,5.0,1.0,0.2,0.01,5,0.29061325615591194,0.048337125793526496,0.11926604755157912,0.2903762816446085
0.5,0.1,5.0,1.0,0.3,0.01,0,0.23070707324084103,0.04609291240150891,0.11987586841713165,0.23126477818341426
0.5,0.1,5.0,1.0,0.3,0.01,1,0.2634505443636421,0.03272498421362416,0.11862336521493885,0.26449414098997853
0.5,0.1,5.0,1.0,0.3,0.01,2,0.20257024773072432,0.07774549783532939,0.11757638181640452,0.2124965425151525
0.5,0.1,5.0,1.0,0.3,0.01,3,0.23148759266342334,0.04575141012256471,0.11753118812823783,0.23046801339820494
0.5,0.1,5.0,1.0,0.3,0.01,4,0.19209554562869618,0.05745971870927037,0.12114467164362658,0.28152835721749714
