scenario,seed,success,final_mean_trait,final_std_trait,final_identity_count
maintenance_common_start,0,1,0.9383789634398454,0.043940977198442595,1
maintenance_common_start,1,1,0.9168580733306418,0.07965413197774732,1
maintenance_common_start,2,1,0.9173760303428105,0.08176362188690003,1
maintenance_common_start,3,1,0.9141480705362324,0.06469502783511911,1
maintenance_common_start,4,1,0.9539592526388164,0.04552142655364541,1
spread_from_rare,0,0,0.48293760731827273,0.13916139970259855,1
spread_from_rare,1,0,0.4971937088072649,0.05945130478423377,1
spread_from_rare,2,1,0.7141726050689415,0.12570582169774522,1
spread_from_rare,3,0,0.3216104540011517,0.08735031654962934,1
spread_from_rare,4,1,0.6660748733751689,0.06439635410973354,1
below_bc_k_threshold,0,0,0.015312607437809607,0.021345061965143384,1
below_bc_k_threshold,1,0,0.01380264140872534,0.027688391834691045,1
below_bc_k_threshold,2,0,0.00793238385928819,0.019915507098696418,1
below_bc_k_threshold,3,0,0.010397689746812365,0.016505833029812792,1
below_bc_k_threshold,4,0,0.015043920217795579,0.028800554347881778,1
moore_neighbourhood_ablation,0,0,0.009405239550590515,0.01873218360661972,1
moore_neighbourhood_ablation,1,0,0.008638885703387882,0.019348760686992494,1
moore_neighbourhood_ablation,2,0,0.00741487393485137,0.01756266954156929,1
moore_neighbourhood_ablation,3,0,0.01303401089310912,0.02353623991704447,1
moore_neighbourhood_ablation,4,0,0.006671978190794127,0.015392369518932867,1
