scenario,category,description,seed_start,seed_count,steps,tail_window,cooperation_target,success_count,success_rate,goal_hit_count,goal_hit_rate,prey_extinction_count,predator_extinction_count,mean_extinction_step,tail_mean_trait_avg,tail_mean_trait_min,final_mean_trait_avg,final_pred_count_avg,final_prey_count_avg
active_baseline,baseline,Current active defaults evaluated at a 10000-step horizon.,0,5,10000,2000,0.5,3,0.6,0,0.0,2,0,7955.0,0.3926385632048422,0.37420285176480955,0.3967446479179519,157.8,113.4
high_trait_candidate,reference_high_trait,Best current >0.5 mean-trait candidate found so far; used as the reference high-cooperation but collapse-prone regime.,0,5,10000,2000,0.5,1,0.2,1,0.2,4,0,6852.75,0.5449584987963184,0.4864125875920169,0.5607938510924959,143.8,12.2
equal_split_counterfactual,payoff_mechanism,"Same ecology as the high-trait reference, but prey is split equally instead of contribution-weighted.",0,5,10000,2000,0.5,1,0.2,0,0.0,4,0,7230.0,0.3465950372798225,0.27154976595303126,0.3594431802230382,183.2,10.8
threshold_gate_counterfactual,payoff_mechanism,"Same ecology as the high-trait reference, but the hunt rule is the harder energy-threshold gate.",0,5,10000,2000,0.5,0,0.0,0,0.0,0,5,37.0,0.024714271227780946,0.020977729776428866,0.0,0.0,2404.4
more_initial_prey_support,ecological_support,"Same payoff mechanism as the high-trait reference, with a larger initial prey pool.",0,5,10000,2000,0.5,1,0.2,0,0.0,4,0,5410.75,0.4113923886717847,0.30850588966192616,0.44530361927691914,163.0,37.4
more_grass_support,ecological_support,"Same payoff mechanism as the high-trait reference, with faster grass regrowth for prey.",0,5,10000,2000,0.5,0,0.0,0,0.0,5,0,5803.6,0.3623855588884257,0.1527711761313693,0.42207020170257403,182.0,0.0
