scenario,seed,success,final_mean_cooperation_rate,final_reciprocal_strategy_frequency,final_ALLD_frequency,final_ALLC_frequency,final_TFT_frequency,final_GTFT_frequency,final_WSLS_frequency
default_mixed_start,0,1,0.9581886574074074,0.8836805555555556,0.024305555555555556,0.0920138888888889,0.5590277777777778,0.23958333333333334,0.08506944444444445
default_mixed_start,1,1,0.9849537037037037,0.8993055555555555,0.010416666666666666,0.09027777777777778,0.7013888888888888,0.10069444444444445,0.09722222222222222
default_mixed_start,2,1,0.9671585648148148,0.9184027777777778,0.03298611111111111,0.04861111111111111,0.4131944444444444,0.22395833333333334,0.28125
default_mixed_start,3,1,0.9897280092592593,0.8489583333333333,0.026041666666666668,0.125,0.5746527777777778,0.18229166666666666,0.0920138888888889
default_mixed_start,4,1,0.9895833333333334,0.9166666666666666,0.003472222222222222,0.0798611111111111,0.5034722222222222,0.3697916666666667,0.043402777777777776
rare_cluster_start,0,1,0.9894386574074074,0.9392361111111112,0.006944444444444444,0.05381944444444445,0.4305555555555556,0.3368055555555556,0.171875
rare_cluster_start,1,1,0.9409722222222222,0.8819444444444443,0.04513888888888889,0.07291666666666667,0.2569444444444444,0.4427083333333333,0.18229166666666666
rare_cluster_start,2,1,0.9489293981481481,0.876736111111111,0.024305555555555556,0.09895833333333333,0.3802083333333333,0.21875,0.2777777777777778
rare_cluster_start,3,1,0.9926215277777778,0.890625,0.003472222222222222,0.10590277777777778,0.6440972222222222,0.16145833333333334,0.08506944444444445
rare_cluster_start,4,1,0.9341724537037037,0.8541666666666666,0.041666666666666664,0.10416666666666667,0.4583333333333333,0.3211805555555556,0.07465277777777778
no_memory_ablation,0,0,0.006944444444444444,0.006944444444444444,0.9895833333333334,0.003472222222222222,0.001736111111111111,0.001736111111111111,0.003472222222222222
no_memory_ablation,1,0,0.003472222222222222,0.010416666666666666,0.9861111111111112,0.003472222222222222,0.005208333333333333,0.001736111111111111,0.003472222222222222
no_memory_ablation,2,0,0.010416666666666666,0.005208333333333333,0.9930555555555556,0.001736111111111111,0.0,0.003472222222222222,0.001736111111111111
no_memory_ablation,3,0,0.010416666666666666,0.013888888888888888,0.9809027777777778,0.005208333333333333,0.0,0.005208333333333333,0.008680555555555556
no_memory_ablation,4,0,0.005208333333333333,0.001736111111111111,0.9930555555555556,0.005208333333333333,0.001736111111111111,0.0,0.0
one_round_ablation,0,0,0.006944444444444444,0.006944444444444444,0.9895833333333334,0.003472222222222222,0.001736111111111111,0.001736111111111111,0.003472222222222222
one_round_ablation,1,0,0.003472222222222222,0.010416666666666666,0.9861111111111112,0.003472222222222222,0.005208333333333333,0.001736111111111111,0.003472222222222222
one_round_ablation,2,0,0.010416666666666666,0.005208333333333333,0.9930555555555556,0.001736111111111111,0.0,0.003472222222222222,0.001736111111111111
one_round_ablation,3,0,0.010416666666666666,0.013888888888888888,0.9809027777777778,0.005208333333333333,0.0,0.005208333333333333,0.008680555555555556
one_round_ablation,4,0,0.005208333333333333,0.001736111111111111,0.9930555555555556,0.005208333333333333,0.001736111111111111,0.0,0.0
