model_variant,benefit_from_altruism,cost_of_altruism,harshness,disturbance_interval,disturbance_fraction,altruistic_probability,selfish_probability,coexist_prob,altruist_avg,selfish_avg,black_avg,occupied_avg
uniform_culling,0.15,0.25,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.15,0.35,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.2,0,0.96,50,0.25,0.39,0.39,0,1947,0,654,0.748558
uniform_culling,0.2,0,0.96,50,0.5,0.39,0.39,0,1294.8,0,1306.2,0.497809
uniform_culling,0.25,0,0.96,50,0.25,0.39,0.39,0,1950.4,0,650.6,0.749865
uniform_culling,0.2,0.1,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.25,0,0.96,50,0.5,0.39,0.39,0,1300.2,0,1300.8,0.499885
uniform_culling,0.2,0.15,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.2,0.25,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.2,0.2,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.2,0.05,0.96,50,0.25,0.39,0.39,1,350.4,1407.4,843.2,0.675817
uniform_culling,0.2,0.1,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.2,0.3,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.2,0.35,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.2,0.05,0.96,50,0.5,0.39,0.39,1,824.2,356.8,1420,0.454056
uniform_culling,0.2,0.25,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.2,0.15,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.2,0.2,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.25,0.15,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.2,0.3,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.2,0.35,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.25,0.2,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.25,0.05,0.96,50,0.25,0.39,0.39,1,1638.2,305.6,657.2,0.747328
uniform_culling,0.25,0.1,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.25,0.25,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.25,0.05,0.96,50,0.5,0.39,0.39,0.6,1215.8,74.8,1310.4,0.496194
uniform_culling,0.25,0.15,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.25,0.1,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.25,0.2,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.25,0.25,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.25,0.35,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.25,0.3,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.25,0.3,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.25,0.35,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.3,0,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.3,0,0.96,50,0.5,0.39,0.39,0,1300.6,0,1300.4,0.500038
uniform_culling,0.3,0.05,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.35,0,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.3,0.05,0.96,50,0.5,0.39,0.39,0,1300,0,1301,0.499808
uniform_culling,0.35,0,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.35,0.05,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.3,0.15,0.96,50,0.25,0.39,0.39,0,0,1652.6,948.4,0.635371
uniform_culling,0.3,0.2,0.96,50,0.25,0.39,0.39,0,0,1652.6,948.4,0.635371
uniform_culling,0.3,0.1,0.96,50,0.25,0.39,0.39,0,0,1652.6,948.4,0.635371
uniform_culling,0.3,0.3,0.96,50,0.25,0.39,0.39,0,0,1652.6,948.4,0.635371
uniform_culling,0.3,0.2,0.96,50,0.5,0.39,0.39,0,0,627.8,1973.2,0.241369
uniform_culling,0.35,0.05,0.96,50,0.5,0.39,0.39,0,1300.6,0,1300.4,0.500038
uniform_culling,0.3,0.25,0.96,50,0.25,0.39,0.39,0,0,1652.6,948.4,0.635371
uniform_culling,0.3,0.15,0.96,50,0.5,0.39,0.39,0,0,627.8,1973.2,0.241369
uniform_culling,0.3,0.3,0.96,50,0.5,0.39,0.39,0,0,627.8,1973.2,0.241369
uniform_culling,0.3,0.25,0.96,50,0.5,0.39,0.39,0,0,627.8,1973.2,0.241369
uniform_culling,0.3,0.35,0.96,50,0.25,0.39,0.39,0,0,1652.6,948.4,0.635371
uniform_culling,0.35,0.2,0.96,50,0.25,0.39,0.39,0,0,1652.6,948.4,0.635371
uniform_culling,0.35,0.15,0.96,50,0.25,0.39,0.39,0,0,1652.6,948.4,0.635371
uniform_culling,0.3,0.35,0.96,50,0.5,0.39,0.39,0,0,627.8,1973.2,0.241369
uniform_culling,0.3,0.1,0.96,50,0.5,0.39,0.39,0.6,81.6,669.4,1850,0.288735
uniform_culling,0.35,0.1,0.96,50,0.25,0.39,0.39,0,0,1652.6,948.4,0.635371
uniform_culling,0.35,0.15,0.96,50,0.5,0.39,0.39,0,0,627.8,1973.2,0.241369
uniform_culling,0.35,0.25,0.96,50,0.25,0.39,0.39,0,0,1652.6,948.4,0.635371
uniform_culling,0.35,0.1,0.96,50,0.5,0.39,0.39,0.4,51.8,699.6,1849.6,0.288889
uniform_culling,0.35,0.2,0.96,50,0.5,0.39,0.39,0,0,627.8,1973.2,0.241369
uniform_culling,0.35,0.3,0.96,50,0.25,0.39,0.39,0,0,1652.6,948.4,0.635371
uniform_culling,0.4,0,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.35,0.25,0.96,50,0.5,0.39,0.39,0,0,627.8,1973.2,0.241369
uniform_culling,0.35,0.3,0.96,50,0.5,0.39,0.39,0,0,627.8,1973.2,0.241369
uniform_culling,0.35,0.35,0.96,50,0.25,0.39,0.39,0,0,1652.6,948.4,0.635371
uniform_culling,0.35,0.35,0.96,50,0.5,0.39,0.39,0,0,627.8,1973.2,0.241369
uniform_culling,0.4,0,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
