mechanism,benefit_scale,cost_scale,replicate_count,mean_final_trait,std_final_trait,min_final_trait,max_final_trait
direct_reciprocity,1.0,0.2,2,0.11170293528052153,0.00024194223345912896,0.1114609930470624,0.11194487751398066
kin_selection,1.0,0.2,2,0.1306320430865318,0.0018416561158521444,0.12879038697067965,0.13247369920238394
network_reciprocity,1.0,0.2,2,0.11886054478639052,0.0008455377571116307,0.11801500702927889,0.11970608254350215
