scenario,seed,success,final_mean_trait,final_std_trait,final_mean_reputation
maintenance_common_start,0,1,0.9192353827820628,0.05937454664613548,3.954121108486602e-198
maintenance_common_start,1,1,0.8605285573821457,0.04950053138412017,1.988875315913688e-192
maintenance_common_start,2,1,0.8160009432002824,0.06326435431931961,5.484370205121345e-194
maintenance_common_start,3,1,0.9448225781822438,0.07232261174796434,5.798565593584878e-196
maintenance_common_start,4,1,0.8284955588606391,0.0873604147615084,1.7466990236910322e-189
spread_from_rare_high_q,0,0,0.42223580917228354,0.12825165829391358,7.978716728358855e-200
spread_from_rare_high_q,1,0,0.22995286237293514,0.051718419215258826,5.476699376029681e-195
spread_from_rare_high_q,2,0,0.14820168341056658,0.06326435431931964,2.5331571740761867e-198
spread_from_rare_high_q,3,0,0.37407851178579676,0.12738384457990043,5.416153220886296e-195
spread_from_rare_high_q,4,0,0.152277087539184,0.08465255457889444,1.3802539795555464e-191
spread_from_rare_low_q,0,0,0.3961666390021676,0.12825165829391358,7.978716728358855e-200
spread_from_rare_low_q,1,0,0.24158111943848454,0.05171841921525882,4.51029743423361e-196
spread_from_rare_low_q,2,0,0.14820168341056658,0.06326435431931964,1.773210021853331e-198
spread_from_rare_low_q,3,0,0.37407851178579676,0.12738384457990043,3.122304550391853e-196
spread_from_rare_low_q,4,0,0.152277087539184,0.08465255457889444,4.734271149875523e-192
no_reputation_ablation,0,1,0.990937074443905,0.014226310167345062,0.8354258558520351
no_reputation_ablation,1,1,0.9359005712683859,0.010442818173955124,0.7935951747189776
no_reputation_ablation,2,1,0.7635817093630227,0.005417598224955736,0.290481043690793
no_reputation_ablation,3,1,0.9853852332478218,0.0051991373528959455,0.894344461055762
no_reputation_ablation,4,1,0.7594348992677851,0.0054516382321823775,0.3331488125052129
