scenario,replicate_count,success_rate,mean_final_cooperation_rate,mean_final_reciprocal_strategy_frequency,mean_final_ALLD_frequency
default_mixed_start,5,1.0,0.9765769675925926,0.8829861111111111,0.022222222222222223
no_kin_bias_ablation,5,1.0,0.9906394675925926,0.8795138888888888,0.010416666666666666
no_memory_ablation,5,0.0,0.011631944444444445,0.007638888888888889,0.9902777777777778
one_round_ablation,5,0.0,0.011631944444444445,0.007638888888888889,0.9902777777777778
rare_lineage_start,5,1.0,0.9881510416666667,0.8385416666666666,0.021180555555555553
