scenario,seed,success,final_mean_cooperation_rate,final_reciprocal_strategy_frequency,final_ALLD_frequency,final_ALLC_frequency,final_TFT_frequency,final_GTFT_frequency,final_WSLS_frequency
default_mixed_start,0,1,0.9872685185185185,0.78125,0.03125,0.1875,0.5208333333333334,0.125,0.13541666666666666
default_mixed_start,1,1,0.9947193287037037,0.9027777777777777,0.005208333333333333,0.0920138888888889,0.3177083333333333,0.2986111111111111,0.2864583333333333
default_mixed_start,2,1,0.9684606481481481,0.8923611111111112,0.017361111111111112,0.09027777777777778,0.4236111111111111,0.20833333333333334,0.2604166666666667
default_mixed_start,3,1,0.9856047453703703,0.953125,0.015625,0.03125,0.234375,0.2690972222222222,0.4496527777777778
default_mixed_start,4,1,0.9468315972222222,0.8854166666666666,0.041666666666666664,0.07291666666666667,0.16319444444444445,0.4756944444444444,0.2465277777777778
rare_lineage_start,0,1,0.9954427083333334,0.8576388888888888,0.005208333333333333,0.1371527777777778,0.4010416666666667,0.1701388888888889,0.2864583333333333
rare_lineage_start,1,1,0.9893663194444444,0.9097222222222222,0.015625,0.07465277777777778,0.3506944444444444,0.4652777777777778,0.09375
rare_lineage_start,2,1,0.9882089120370371,0.7239583333333333,0.029513888888888888,0.2465277777777778,0.2309027777777778,0.2725694444444444,0.2204861111111111
rare_lineage_start,3,1,0.9701244212962963,0.8368055555555556,0.041666666666666664,0.12152777777777778,0.1892361111111111,0.3975694444444444,0.25
rare_lineage_start,4,1,0.9976128472222222,0.8645833333333334,0.013888888888888888,0.12152777777777778,0.2760416666666667,0.3420138888888889,0.2465277777777778
no_memory_ablation,0,0,0.015407986111111112,0.008680555555555556,0.9878472222222222,0.003472222222222222,0.001736111111111111,0.005208333333333333,0.001736111111111111
no_memory_ablation,1,0,0.015190972222222222,0.001736111111111111,0.9965277777777778,0.001736111111111111,0.001736111111111111,0.0,0.0
no_memory_ablation,2,0,0.008897569444444444,0.013888888888888888,0.9826388888888888,0.003472222222222222,0.006944444444444444,0.003472222222222222,0.003472222222222222
no_memory_ablation,3,0,0.008897569444444444,0.006944444444444444,0.9913194444444444,0.001736111111111111,0.001736111111111111,0.001736111111111111,0.003472222222222222
no_memory_ablation,4,0,0.009765625,0.006944444444444444,0.9930555555555556,0.0,0.003472222222222222,0.001736111111111111,0.001736111111111111
one_round_ablation,0,0,0.015407986111111112,0.008680555555555556,0.9878472222222222,0.003472222222222222,0.001736111111111111,0.005208333333333333,0.001736111111111111
one_round_ablation,1,0,0.015190972222222222,0.001736111111111111,0.9965277777777778,0.001736111111111111,0.001736111111111111,0.0,0.0
one_round_ablation,2,0,0.008897569444444444,0.013888888888888888,0.9826388888888888,0.003472222222222222,0.006944444444444444,0.003472222222222222,0.003472222222222222
one_round_ablation,3,0,0.008897569444444444,0.006944444444444444,0.9913194444444444,0.001736111111111111,0.001736111111111111,0.001736111111111111,0.003472222222222222
one_round_ablation,4,0,0.009765625,0.006944444444444444,0.9930555555555556,0.0,0.003472222222222222,0.001736111111111111,0.001736111111111111
no_kin_bias_ablation,0,1,0.9846643518518519,0.9097222222222222,0.015625,0.07465277777777778,0.19618055555555555,0.4947916666666667,0.21875
no_kin_bias_ablation,1,1,0.9976128472222222,0.8159722222222222,0.001736111111111111,0.18229166666666666,0.4930555555555556,0.1753472222222222,0.14756944444444445
no_kin_bias_ablation,2,1,0.9727285879629629,0.9375,0.029513888888888888,0.03298611111111111,0.3454861111111111,0.21180555555555555,0.3802083333333333
no_kin_bias_ablation,3,1,0.9981915509259259,0.9322916666666665,0.001736111111111111,0.06597222222222222,0.3611111111111111,0.1440972222222222,0.4270833333333333
no_kin_bias_ablation,4,1,1.0,0.8020833333333334,0.003472222222222222,0.19444444444444445,0.375,0.3229166666666667,0.10416666666666667
